filename,category,description,rarity
001_Agent.png,Unused Mobs,"The Agent is a interactive passive mob that is exclusive to Minecraft Education and Bedrock Edition.",anc
002_Aggressive Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",unc
003_Albino Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",unc
004_Allay,Passive Mobs,"An allay is a flying passive mob that collects and delivers items for any player that gives it something or any note block it hears recently playing. It looks similar to its hostile counterpart the vex.",com
005_Anemone.png,Passive Mobs,"Tropical fish are common bucketable aquatic passive mobs found in oceans mangrove swamps and lush caves. There are 2700 naturally occurring variants of tropical fish of different colors and shapes with unique names in Bedrock Edition and 3072 in Java Edition.",unc
006_Angry Bee.png,Neutral Mobs,"Bees are flying neutral mobs that live in bee nests and beehives. Bees pollinate flowers and when they do add honey to their home when they return to it. If provoked by being attacked or breaking or harvesting their hive or nest without the correct precautions bees suicidally attack in a swarm.",unc
007_Angry Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",unc
008_Armadillo.png,Passive Mobs,"An armadillo is a passive mob found in badlands and savannas. It rolls up in response to being hurt or being near undead mobs or players that are sprinting or mounted. It is the only source of armadillo scutes which the armadillo sheds over time as well as when it is brushed.",com
009_Ashen Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",unc
010_Baby Aggressive Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
011_Baby Albino Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
012_Baby Angry Wolf.png,Neutral Mobs,"A wolf is a neutral mob that can be tamed using bones. Tamed wolves defend their owners against attackers and can assist them in combat.",rare
013_Baby Black Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
014_Baby Black Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
015_Baby Black Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
016_Baby Black Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
017_Baby Black Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
018_Baby Black Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
019_Baby Black Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
020_Baby Black Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
021_Baby Black and White Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
022_Baby Blacksmith.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
023_Baby Blue Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
024_Baby British Shorthair Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
025_Baby Brown Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
026_Baby Brown Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
027_Baby Brown Llama.png,Neutral Mobs,"A llama is a tamable neutral mob used to transport large shipments of items.",rare
028_Baby Brown Mooshroom.png,Passive Mobs,"Mooshrooms are mushroom-covered variants of cows exclusive to the rare mushroom fields biome.",rare
029_Baby Brown Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
030_Baby Brown Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
031_Baby Brown Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
032_Baby Brown Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
033_Baby Brown Trader Llama.png,Neutral Mobs,"A trader llama is a llama variant that spawns with wandering traders.",rare
034_Baby Brown Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
035_Baby Brown Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
036_Baby Butcher.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
037_Baby Calico Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
038_Baby Chestnut Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
039_Baby Chestnut Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
040_Baby Chestnut Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
041_Baby Chestnut Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
042_Baby Chestnut Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
043_Baby Chicken.png,Passive Mobs,"A chicken is a passive mob found in grass biomes and the main source of raw chicken feathers and eggs.",rare
044_Baby Cow.png,Passive Mobs,"A cow is a passive mob found in most grassy biomes and a source of leather beef and milk.",rare
045_Baby Creamy Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
046_Baby Creamy Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
047_Baby Creamy Llama.png,Neutral Mobs,"A llama is a tamable neutral mob used to transport large shipments of items.",rare
048_Baby Creamy Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
049_Baby Creamy Trader Llama.png,Neutral Mobs,"A trader llama is a llama variant that spawns with wandering traders.",rare
050_Baby Creamy Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
051_Baby Creamy Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
052_Baby Cyan Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
053_Baby Darkbrown Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
054_Baby Darkbrown Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
055_Baby Darkbrown Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
056_Baby Darkbrown Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
057_Baby Darkbrown Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
058_Baby Desert Villager.png,Passive Mobs,"Villagers are passive mobs that inhabit villages work at their professions breed and interact with each other. Their outfit varies according to their occupation and biome. A player can trade with them using emeralds as currency.",rare
059_Baby Desert Zombie Villager.png,Hostile Mobs,"A zombie villager is a variant of the zombie that can be cured into a normal villager using a golden apple while it is under the effect of Weakness.",rare
060_Baby Diamond Chicken.png,Joke Mobs,"Diamond chickens were a rare joke variant of chicken present in the April Fool's Java Edition 2.0. They lay lapis lazuli and diamonds instead of eggs.",leg
061_Baby Donkey.png,Passive Mobs,"Donkeys are mobs similar to horses that when tamed can be ridden and equipped with chests.",rare
062_Baby Drowned.png,Hostile Mobs,"Drowned are neutral mobs and common underwater zombie variants that spawn in oceans rivers and dripstone caves or when zombies drown. They usually attack through melee attacks but may also come armed with tridents that they throw. They are the only renewable source of copper.",rare
063_Baby Farmer.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
064_Baby Fox.png,Neutral Mobs,"A fox is a neutral mob that spawns in cold and snowy forested biomes. They are able to carry a single item in their mouth but prefer food over other items.",rare
065_Baby Goat.png,Neutral Mobs,"A goat is a neutral mob found in certain mountainous biomes. Goats can jump especially high and ram mobs. They are a source of goat horns and milk.",rare
066_Baby Gold Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
067_Baby Gray Blackdot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
068_Baby Gray Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
069_Baby Gray Llama.png,Neutral Mobs"A llama is a tamable neutral mob used to transport large shipments of items.",rare
070_Baby Gray Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
071_Baby Gray Stockings Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
072_Baby Gray Whitefield Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
073_Baby Gray Whitespot Horse.png,Passive Mobs,"Horses are passive mobs that can be ridden when tamed and saddled.",rare
074_Baby Green Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
075_Baby Hoglin.png,Hostile Mobs,"A hoglin is a breedable hostile mob found in the Nether and a source of porkchops and leather. Hoglins are repelled by warped fungi that is placed in the world as well as active nether portals and respawn anchors. It attacks by thrusting its tusks upward which can also launch its target a short distance into the air.",rare
076_Baby Husk.png,Hostile Mobs,"A husk is a variant of zombie that spawns in deserts. They function similarly to zombies except they do not burn in sunlight and they inflict Hunger with their unarmed attacks.",rare
077_Baby Jellie Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
078_Baby Jungle Villager.png,Passive Mobs,"Villagers are passive mobs that inhabit villages work at their professions breed and interact with each other. Their outfit varies according to their occupation and biome. A player can trade with them using emeralds as currency.",rare
079_Baby Jungle Zombie Villager.png,Hostile Mobs,"A zombie villager is a variant of the zombie that can be cured into a normal villager using a golden apple while it is under the effect of Weakness.",rare
080_Baby Killer Bunny Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
081_Baby Lazy Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
082_Baby Librarian.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
083_Baby Light Blue Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
084_Baby Light Gray Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
085_Baby Lime Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
086_Baby Magenta Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
087_Baby Moon Cow.png,Joke Mobs,"A moon cow is a variant of a cow that spawns on the Moon. They function similar to the cow except they walk backward and wear glass.",leg
088_Baby Mule.png,Passive Mobs,"Mules are infertile offspring of horses and donkeys that when tamed can be ridden and equipped with chests.",rare
089_Baby Nitwit.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
090_Baby Ocelot.png,Passive Mobs,"An ocelot is a passive mob found in jungles.",rare
091_Baby Orange Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
092_Baby Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
093_Baby Persian Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
094_Baby Pig.png,Passive Mobs,"A pig is a passive mob found commonly in most grassy biomes. Pigs are a source of porkchops and can be ridden when equipped with a saddle.",rare
095_Baby Piglin.png,Neutral Mobs,"Baby piglins do not grow up never hold weapons or attack and take gold without giving anything in return.",rare
096_Baby Pink Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
097_Baby Plains Villager.png,Passive Mobs,"Villagers are passive mobs that inhabit villages work at their professions breed and interact with each other. Their outfit varies according to their occupation and biome. A player can trade with them using emeralds as currency.",rare
098_Baby Plains Zombie Villager.png,Hostile Mobs,"A zombie villager is a variant of the zombie that can be cured into a normal villager using a golden apple while it is under the effect of Weakness.",rare
099_Baby Playful Panda.png,Neutral Mobs,"A panda is a rare neutral mob that resides in jungles. Certain aspects of a panda's behavior and appearance vary depending on its personality.",rare
100_Baby Polar Bear.png,Neutral Mobs,"Polar bears are neutral mobs that live in icy biomes.",rare
101_Baby Priest.png,Unused Mobs,"Villagers are passive mobs that live in villages work breed and interact with each other. Their clothing reflects their profession. Players can trade with them using emeralds. Villagers were overhauled in the Village & Pillage update changing both their appearance and functionality.",leg
102_Baby Purple Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
103_Baby Ragdoll Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
104_Baby Red Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
105_Baby Red Mooshroom.png,Passive Mobs,"Mooshrooms are mushroom-covered variants of cows exclusive to the rare mushroom fields biome.",rare
106_Baby Red Sheep.png,Passive Mobs,"Sheep are common passive mobs that supply wool and raw mutton and are found in many of the grassy biomes.",rare
107_Baby Salt and Pepper Rabbit.png,Passive Mobs,"A rabbit is an uncommon passive mob and is a source of rabbit's foot rabbit hide and raw rabbit.",rare
108_Baby Savanna Villager.png,Passive Mobs,"Villagers are passive mobs that inhabit villages work at their professions breed and interact with each other. Their outfit varies according to their occupation and biome. A player can trade with them using emeralds as currency.",rare
109_Baby Savanna Zombie Villager.png,Hostile Mobs,"A zombie villager is a variant of the zombie that can be cured into a normal villager using a golden apple while it is under the effect of Weakness.",rare
110_Baby Siamese Cat.png,Passive Mobs,"A cat is a passive mob found in villages and swamp huts. They can be tamed and used to repel creepers and phantoms.",rare
111_Baby Skeleton Horse.png,Passive Mobs,"A skeleton horse is an undead variant of the horse. It sometimes spawns when lightning strikes causing four horsemen to appear if the trap horse is approached.",rare